ts_utc,usd_per_oz,mmk_per_oz_market,mmk_per_tical_market
2026-07-16T19:42:28+00:00,3977.300049,16903525.21,8874336.97
2026-07-16T19:43:41+00:00,3977.5,16904375.0,8874783.11
2026-07-17T08:32:28+00:00,3993.0,16970250.0,8909367.44
2026-07-17T14:09:03+00:00,3999.800049,16999150.21,8924540.02
